ukprn,university,kiscourseid,title,crseurl,provadd
10007158,University of Southampton,252,Electronic Engineering with Nanotechnology,https://www.southampton.ac.uk/courses/electronic-engineering-with-nanotechnology-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,253,Electrical Engineering,https://www.southampton.ac.uk/courses/electrical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,254,Electronic Engineering with Wireless Communications,https://www.southampton.ac.uk/courses/electronic-engineering-with-wireless-communications-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,256,Electronic Engineering with Computer Systems,https://www.southampton.ac.uk/courses/electronic-engineering-with-computer-systems-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,257,Electronic Engineering with Artificial Intelligence,https://www.southampton.ac.uk/courses/electronic-engineering-with-artificial-intelligence-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,260,Physics with Foundation Year,https://www.southampton.ac.uk/courses/physics-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,27,Marine Biology with Oceanography,https://www.southampton.ac.uk/courses/marine-biology-with-oceanography-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,340,Medicine (5 year),https://www.southampton.ac.uk/courses/medicine-bm5-degree-bmbs,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,341,Medicine (6 year widening access programme with year zero),https://www.southampton.ac.uk/courses/medicine-bm6-widening-participation-degree-bmbs,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,345,Criminology,https://www.southampton.ac.uk/courses/criminology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,346,Criminology & Psychology,https://www.southampton.ac.uk/courses/criminology-psychology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,348,Education and Psychology,https://www.southampton.ac.uk/courses/education-psychology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,35,Chemistry with Foundation Year,https://www.southampton.ac.uk/courses/chemistry-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,358,Sociology & Criminology,https://www.southampton.ac.uk/courses/sociology-criminology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,36,Geology,https://www.southampton.ac.uk/courses/geology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,376,Biomedical Sciences,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,383,Environmental Science,https://www.southampton.ac.uk/courses/environmental-science-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,4,Pharmacology,https://www.southampton.ac.uk/courses/pharmacology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,40,Oceanography with Foundation Year,https://www.southampton.ac.uk/courses/oceanography-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,404,Accounting and Finance with Placement,https://www.southampton.ac.uk/courses/accounting-finance-with-placement-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,405,Games Design and Art,https://www.southampton.ac.uk/courses/games-design-art-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,406,Fashion Marketing with Management,https://www.southampton.ac.uk/courses/fashion-marketing-with-management-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,408,Law with Psychology,https://www.southampton.ac.uk/courses/law-with-psychology-degree-llb,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,41,Marine Biology with Foundation Year,https://www.southampton.ac.uk/courses/marine-biology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,411,Archaeology,https://www.southampton.ac.uk/courses/archaeology-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,412,Economics and Philosophy with Year Abroad,https://www.southampton.ac.uk/courses/economics-philosophy-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,414,English and History with Year Abroad,https://www.southampton.ac.uk/courses/english-history-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,416,English with Year Abroad,https://www.southampton.ac.uk/courses/english-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,417,Film and English with Year Abroad,https://www.southampton.ac.uk/courses/film-english-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,418,Film and History with Year Abroad,https://www.southampton.ac.uk/courses/film-history-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,419,Film Studies with Year Abroad,https://www.southampton.ac.uk/courses/film-studies-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,421,History with Year Abroad,https://www.southampton.ac.uk/courses/history-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,422,Modern History and Politics with Year Abroad,https://www.southampton.ac.uk/courses/modern-history-politics-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,424,Music with Year Abroad,https://www.southampton.ac.uk/courses/music-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,425,Philosophy and English with Year Abroad,https://www.southampton.ac.uk/courses/philosophy-english-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,426,Philosophy and Politics with Year Abroad,https://www.southampton.ac.uk/courses/philosophy-politics-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,427,Philosophy and History with Year Abroad,https://www.southampton.ac.uk/courses/philosophy-history-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,431,Philosophy with Year Abroad,https://www.southampton.ac.uk/courses/philosophy-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,433,Acoustical Engineering,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,434,Aeronautics and Astronautics with Foundation Year,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,435,Civil Engineering,https://www.southampton.ac.uk/courses/civil-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,436,Electrical and Electronic Engineering with Foundation Year,https://www.southampton.ac.uk/courses/electrical-electronic-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,437,Electrical Engineering with Foundation Year,https://www.southampton.ac.uk/courses/electrical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,439,Electronic Engineering with Foundation Year,https://www.southampton.ac.uk/courses/electronic-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,44,Physiotherapy,https://www.southampton.ac.uk/courses/physiotherapy-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,440,Mechanical Engineering,https://www.southampton.ac.uk/courses/mechanical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,441,Ship Science with Foundation Year,https://www.southampton.ac.uk/courses/maritime-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,442,Software Engineering with Foundation Year,https://www.southampton.ac.uk/courses/software-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,443,Computer Science with Foundation Year,https://www.southampton.ac.uk/courses/computer-science-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,445,Acoustical Engineering,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,446,Aeronautics and Astronautics with Foundation Year,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,448,Civil Engineering,https://www.southampton.ac.uk/courses/civil-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,45,Midwifery,https://www.southampton.ac.uk/courses/midwifery-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,450,Electrical and Electronic Engineering with Foundation Year,https://www.southampton.ac.uk/courses/electrical-electronic-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
