uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,Q821-2000,MA,Celtic Civilisation/Classics,120,21291.666666666668,24208.333333333332,29500,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Classics_Joint_Honours_Q820-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,QQM3-2000,MA,Celtic Civilisation/English Language,80,21250,23812.5,28812.5,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,QQ5J-2000,MA,Celtic Civilisation/English Literature,100,21950,24600,29950,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LQ75-2000,MA,Celtic Civilisation/Geography,80,22187.5,24500,29687.5,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,GQ15-2000,MA,Celtic Civilisation/Mathematics,90,21833.333333333332,25222.222222222223,30166.666666666668,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,QV55-2000,MA,Celtic Civilisation/Philosophy,85,21500,23911.764705882353,29235.29411764706,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Philosophy_Joint_Honours_V502-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,CQV5-2000,MA,Celtic Civilisation/Psychology,85,21941.17647058823,24264.70588235294,29411.764705882353,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,QVM1-2000,MA,Celtic Civilisation/Scottish History,110,21318.18181818182,24363.636363636364,30045.454545454544,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,QQF5-2000,MA,Celtic Civilisation/Scottish Literature,100,21950,24600,29950,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LQK5-2000,MA,Celtic Civilisation/Social & Public Policy,85,21411.764705882353,24352.941176470587,29323.529411764703,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
