university,kiscourseid,title,crseurl,degree_type,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,provaddress,ukprn,median_salary,foundation_year_available,placement_year,year_abroad
Durham University,H211,Engineering (Civil),https://www.durham.ac.uk/study/courses/h211/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H214,Engineering (Civil),https://www.durham.ac.uk/study/courses/h214/,BEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H311,Engineering (Mechanical),https://www.durham.ac.uk/study/courses/h311/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H314,Engineering (Mechanical),https://www.durham.ac.uk/study/courses/h314/,BEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H411,Engineering (Aeronautical),https://www.durham.ac.uk/study/courses/h411/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H511,Engineering (Electrical),https://www.durham.ac.uk/study/courses/h511/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H514,Engineering (Electrical),https://www.durham.ac.uk/study/courses/h514/,BEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H711,Engineering (Electronic),https://www.durham.ac.uk/study/courses/h711/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H714,Engineering (Electronic),https://www.durham.ac.uk/study/courses/h714/,BEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H811,Engineering (Renewable Energy),https://www.durham.ac.uk/study/courses/h811/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,L100,Economics,https://www.durham.ac.uk/business/courses/economics-l100/,BSc,A*AA,A level offer – A*AA including Mathematics. You do not need to have studied Economics at A-Level to apply for this programme. Contextual offer – ABB including a grade A from A Level Mathematics,38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics. If you are not taking Mathematics at higher level, we can accept standard level Mathematics at grade 7.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,38000,Yes,Yes,Yes
Durham University,L103,Economics with Management,https://www.durham.ac.uk/business/courses/economics-with-management-l103/,BSc,A*AA,A level offer – A*AA including Mathematics. You do not need to have studied Economics at A-Level to apply for this programme. Contextual offer – AAB a grade A from A Level Mathematics,38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics. If you are not taking Mathematics at higher level, we can accept standard level Mathematics at grade 7.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,38000,No,Yes,Yes
Durham University,L200,Politics,https://www.durham.ac.uk/study/courses/l200/,BA,AAA,A level offer – AAA including a social science or humanities subject. Contextual offer – BBB including a social science or humanities subject.,37,"IB Diploma score – 37 with 666 in higher level subjects, including a social sciences or humanities subject","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,32500,Yes,Yes,Yes
Durham University,L250,International Relations,https://www.durham.ac.uk/study/courses/l250/,BA,AAA,A level offer – AAA including a social science or humanities subject. Contextual offer – BBB including a social science or humanities subject.,37,"IB Diploma score – 37 with 666 in higher level subjects, including a social sciences or humanities subject.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,32500,No,Yes,Yes
Durham University,L253,Politics and International Relations,https://www.durham.ac.uk/study/courses/l253/,BA,AAA,A level offer – AAA including a social science or humanities subject Contextual offer – BBB including a social science or humanities subject.,37,"IB Diploma score – 37 with 666 in higher level subjects, including a social sciences or humanities subject","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,32500,No,Yes,Yes
Durham University,L300,Sociology,https://www.durham.ac.uk/study/courses/l300/,BA,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 with 665 in higher level subjects,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,25000,Yes,Yes,Yes
Durham University,L370,Criminology,https://www.durham.ac.uk/study/courses/l370/,BA,AAB,A level offer – AAB Contextual offer – BBC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,25000,Yes,Yes,Yes
Durham University,L601,Anthropology,https://www.durham.ac.uk/study/courses/l601/,BSc,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,L602,Anthropology,https://www.durham.ac.uk/study/courses/l602/,BA,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,L702,Geography,https://www.durham.ac.uk/study/courses/l702/,BA,A*AA,A level offer – A*AA Contextual offer – ABB,38,IB Diploma score – 38 with 666 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,29500,Yes,Yes,Yes
Durham University,LA01,Liberal Arts,https://www.durham.ac.uk/study/courses/la01/,BA,A*AA,"A level offer – A*AA. To study English Literature, an A at A level is required in the subject; To study History, an A at A level is required in the subject; To study Music, an A at A level is required in the subject; To study Economics, an A at A level in Mathematics is required; To study Sport, a grade 5 in GCSE English Language is required; To study French, German, Italian, Russian, Chinese, Japanese or Spanish at an advanced level, an A at A level in the language is required; To study Arabic, French, German, Italian, Russian or Spanish at a beginner’s level, an A at A level in a modern foreign language is required. Contextual offer – AAB",38,IB Diploma score – 38 with 666 in higher level subjects. Subject requirements as listed above for A level.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,LF64,Anthropology and Archaeology,https://www.durham.ac.uk/study/courses/lf64/,BA,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,No,Yes,Yes
