url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-swedish-ba,BA,Czech and Swedish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-ukrainian-ba,BA,Czech and Ukrainian,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-yiddish-ba,BA,Czech and Yiddish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 in three higher level subjects to include Czech or Yiddish, with no higher level score below 5"
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-dutch-ba,BA,Danish and Dutch,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-finnish-ba,BA,Danish and Finnish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-french-ba,BA,Danish and French,ABB,French required at grade A.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-german-ba,man BA,Danish and Ger,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hebrew-ba,BA,Danish and Hebrew,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Danish or Hebrew."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hungarian-ba,BA,Danish and Hungarian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-italian-ba,BA,Danish and Italian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-polish-ba,BA,Danish and Polish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-portuguese-ba,BA,Danish and Portuguese,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-romanian-ba,manian BA,Danish and Ro,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-russian-ba,BA,Danish and Russian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-spanish-ba,BA,Danish and Spanish,ABB,Spanish required at grade A.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-serbian-croatian-ba,BA,Danish and Serbian/Croatian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-ukrainian-ba,BA,Danish and Ukrainian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-yiddish-ba,BA,Danish and Yiddish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Danish or Yiddish"
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-english-ba,BA,Dutch and English,AAA,"English Literature/English Language and Literature grade A required, foreign language preferred.",38,"A total of 18 points in three higher level subjects, with no higher level score below 5, to include English/English Literature required at grade 6."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-finnish-ba,BA,Dutch and Finnish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-french-ba,BA,Dutch and French,ABB,French required at grade A.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-german-ba,man BA,Dutch and Ger,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-history-art-ba,BA,Dutch and History of Art,ABB,Modern foreign language preferred.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hebrew-ba,BA,Dutch and Hebrew,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Dutch or Hebrew."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hungarian-ba,BA,Dutch and Hungarian,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5."
