kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
K0361,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-spanish.aspx,BA,International Relations with Spanish,AAB,AAB and including at least a B in Spanish,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0364,https://www.birmingham.ac.uk/undergraduate/courses/chemical-engineering/chemical-engineering-industry-beng.aspx,BEng,Chemical Engineering with Industrial Study,AAA,AAA to include A-level Mathematics and Chemistry or Physics.,32,"6,6,6 at Higher Level including Mathematics and Chemistry or Physics at Higher Level grade 6 with a minimum of 32 points overall.  We will consider Standard Level Mathematics grade 7."
K0367,https://www.birmingham.ac.uk/undergraduate/courses/chemical-engineering/chemical-engineering-industrial-international-meng.aspx,MEng,Chemical Engineering with International and Industrial Study,A*AA,A*AA /AAAA to include A-level Mathematics and Chemistry or Physics.,32,"7,6,6 at HL, to include Mathematics and Chemistry or Physics HL grade 6 with a minimum of 32 points overall. We will consider Standard Level Maths grade 7."
K0368,https://www.birmingham.ac.uk/undergraduate/courses/maths/maths-computer-science-industrial.aspx,BSc,Mathematics and Computer Science with Industrial Year,A*AA,A*AA to include A-level grade A in Mathematics or Further Mathematics.,32,"7,6,6 at Higher Level, including Mathematics, with a minimum of 32 points overall."
K0369,https://www.birmingham.ac.uk/undergraduate/courses/maths/maths-computer-science-industrial-msci.aspx,MSci,Mathematics and Computer Science with Industrial Year,A*AA,A*AA to include A-level grade A in Mathematics or Further Mathematics.,32,"7,6,6 at Higher Level, including a 6 in Mathematics, with a minimum of 32 points overall."
K0372,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-industry.aspx,BSc,Computer Science with a Year in Industry,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0373,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/artificial-intelligence-computer-science-industry.aspx,BSc,Artificial Intelligence (AI) and Computer Science with a Year in Industry,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0375,https://www.birmingham.ac.uk/undergraduate/courses/eese/electronic-electrical-engineering-industry-beng.aspx,BEng,Electronic and Electrical Engineering with Industrial Year,AAB,AAB to include A-level Mathematics.,32,"6,6,5 at Higher Level (including Mathematics) with 32 points overall."
K0382,https://www.birmingham.ac.uk/undergraduate/courses/eese/electronic-electrical-engineering-industry-meng.aspx,MEng,Electronic and Electrical Engineering with Industrial Year,AAA,AAA to include A-level Mathematics.,32,"6,6,6 at Higher Level (including Mathematics) with 32 points overall."
K0386,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-industrial-meng.aspx,MEng,Mechanical Engineering with Industrial Year,AAA,AAA to include A-level Mathematics. Further Mathematics and Physics are not required but are advantageous.,32,"6,6,6 at Higher Level (including Mathematics) with 32 points overall."
