ukprn,kiscourseid,university_name,title,degree_type,median_salary,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,url,provaddress,placement_year,year_abroad,foundation_year_available,offer_rate
10003270,F664,Imperial College London,Geophysics with a Year Abroad,MSci,32000,AAA,A in Mathematics; A in Physics,39,6 in Mathematics at higher level; 6 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/geophysics-msci/#abroad,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,82%
10003270,FN11,Imperial College London,Chemistry with Management and a Year in Industry,BSc,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",Yes,No,No,30%
10003270,G100,Imperial College London,Mathematics,BSc,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,28%
10003270,G102,Imperial College London,Mathematics with Mathematical Computation,BSc,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computation/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,24%
10003270,G103,Imperial College London,Mathematics,MSci,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level; 7 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-msci/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,34%
10003270,G104,Imperial College London,Mathematics with a Year Abroad,MSci,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level; 7 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-msci/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,34%
10003270,G125,Imperial College London,Mathematics (Pure Mathematics),BSc,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/pure-mathematics-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,28%
10003270,G1F3,Imperial College London,Mathematics with Applied Mathematics/Mathematical Physics,BSc,35000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-applied-physics/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,12%
10003270,G1G3,Imperial College London,Mathematics with Statistics,BSc,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-statistics/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,13%
10003270,G1GH,Imperial College London,Mathematics with Statistics for Finance,BSc,39000,A*A*A,A* in Mathematics; A* in Further Mathematics,39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-statistics-finance/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,11%
10003270,G400,Imperial College London,Computing,BEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-beng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,16%
