kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary,university,offer_rate_clean,disciplines
UBARUSAPOR18,Russian and Portuguese,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-portuguese-ba,No,No,Yes,25500,28500,35000,University College London,63,Russian
UBARUSASRB18,Russian and Serbian/Croatian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-serbian-croatian-ba,No,No,Yes,25500,28500,35000,University College London,60,Russian
UBARUSASPA18,Russian and Spanish,BA,AAB,Spanish required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including Spanish grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-spanish-ba,No,No,Yes,25500,28500,35000,University College London,88,Russian
UBARUSASWE18,Russian and Swedish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-swedish-ba,No,No,Yes,25500,28500,35000,University College London,60,Russian
UBARUSAUKR18,Russian and Ukrainian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-ukrainian-ba,No,No,Yes,25500,28500,35000,University College London,63,Russian
UBARUSAYID18,Russian and Yiddish,BA,ABB,Russian or Yiddish required.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Russian or Yiddish.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-yiddish-ba,No,No,Yes,25500,28500,35000,University College London,60,Russian
UBARUSWEEL18,Russian with an East European Language,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-east-european-language-ba,No,No,Yes,25500,28500,35000,University College London,63,Russian
UBARUSSING18,Russian Studies,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-studies-ba,No,No,Yes,25500,28500,35000,University College London,68,Russian
UBASCAAENG18,Scandinavian Studies and English,BA,AAA,"English Literature/English Language and Literature grade A required, foreign language preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including English A1 Literature/Language and Literature at grade 6, with no higher level score below 5. Foreign language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-english-ba,No,No,Yes,23000,25500,30000,University College London,63,Scandinavian
UBASCAAHAR18,Scandinavian Studies and History of Art,BA,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5. Foreign language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-history-art-ba,No,No,Yes,25500,28500,35000,University College London,63,Scandinavian
UBASCAALAT18,Scandinavian Studies and Latin,BA,ABB,"A in Latin required, foreign language preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including 6 in Latin, with no higher level score below 5. Foreign language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-latin-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Scandinavian
UBASCAAPHI18,Scandinavian Studies and Philosophy,BA,AAB,Please refer to UCL’s list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-philosophy-ba,No,No,Yes,25500,28500,35000,University College London,63,Scandinavian
UBASCASING18,Scandinavian Studies,BA,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, preferably including a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-ba,No,No,Yes,25500,28500,35000,University College London,63,Scandinavian
UBASCAWFLM18,Scandinavian Studies with Film Studies,BA,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-film-studies-ba,No,No,Yes,25500,28500,35000,University College London,63,Scandinavian
UBASCAWMAN18,Scandinavian Studies with Management Studies,BA,AAB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Foreign language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-management-studies-ba,No,No,Yes,30000,34000,47500,University College London,36,Scandinavian
