kiscourseid,title,crseurl
UBARUSAYID18,Russian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-yiddish-ba
UBARUSSING18,Russian Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-studies-ba
UBARUSWEEL18,Russian with an East European Language,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-east-european-language-ba
UBASCAAENG18,Scandinavian Studies and English,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-english-ba
UBASCAAHAR18,Scandinavian Studies and History of Art,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-history-art-ba
UBASCAALAT18,Scandinavian Studies and Latin,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-latin-ba
UBASCAAPHI18,Scandinavian Studies and Philosophy,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-and-philosophy-ba
UBASCASICE18,Icelandic,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/icelandic-ba
UBASCASING18,Scandinavian Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-ba
UBASCASVON18,Viking and Old Norse Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/viking-and-old-norse-studies-ba
UBASCAWFLM18,Scandinavian Studies with Film Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-film-studies-ba
UBASCAWMAN18,Scandinavian Studies with Management Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-management-studies-ba
UBASERAEES18,Serbian / Croatian and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-east-european-studies-ba
UBASPAAHAR18,Spanish and History of Art,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-history-art-ba
UBASPAALAS18,Spanish and Latin American Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-latin-american-studies-ba
UBASPAALAT18,Spanish and Latin,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-latin-ba
UBASPAAPHI18,Spanish and Philosophy,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-philosophy-ba
UBASPAAPOR18,Spanish and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-portuguese-ba
UBASPAASWE18,Spanish and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-swedish-ba
UBASPAAUKR18,Spanish and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-ukrainian-ba
UBASPAAYID18,Spanish and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-yiddish-ba
UBASPAWFLM18,Spanish with Film Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-film-studies-ba
UBASPAWMAN18,Spanish with Management Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-management-studies-ba
UBASRBAPOR18,Serbian/Croatian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-portuguese-ba
UBASRBASPA18,Serbian/Croatian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-spanish-ba
UBASRBASWE18,Serbian/Croatian and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-swedish-ba
UBASRBAUKR18,Serbian/Croatian and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-ukrainian-ba
UBASRBAYID18,Serbian/Croatian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-yiddish-ba
UBASWEAPOR18,Swedish and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/swedish-and-portuguese-ba
UBASWEAYID18,Swedish and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/swedish-and-yiddish-ba
UBAUKRAEES18,Ukrainian and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-east-european-studies-ba
UBAUKRAPOR18,Ukrainian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-portuguese-ba
UBAUKRASWE18,Ukrainian and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-swedish-ba
UBAUKRAYID18,Ukrainian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ukrainian-and-yiddish-ba
UBAYTHASTF18,"Youth, Society and Sustainable Futures",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/youth-society-and-sustainable-futures-ba
UBBASCSABR18,Arts and Sciences with Study Abroad,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc
UBBASCSING18,Arts and Sciences,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc
UBEECOASTA18,Economics and Statistics,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ
UBEECOSABR18,Economics,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-year-abroad-bsc-econ
