Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,Northern Ireland,Functional managers and directors n.e.c.
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,Northern Ireland,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,Not known,Managers and proprietors in other services n.e.c.
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,Not known,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,Other European Union,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,High-skilled,Teaching or other educational activities,South East,Other psychologists
DEdPsy Educational Psychology,DDYPSYSEDU01/DDYPSYSEDU01,Not applicable,Unknown,Not known,
MD(Res) Clinical Research,RDMCLISCAN01/RDMCLISCAN01,High-skilled,Health and Social Care,East Midlands,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAN01/RDMCLISCAN01,High-skilled,Health and Social Care,London,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISCAN01/RDMCLISCAN01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,,East Midlands,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,Asia,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,East of England,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,North West,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,Northern Ireland,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,Scotland,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISCAR01/RDMCLISCAR01,High-skilled,Health and Social Care,Yorkshire and The Humber,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCHI01/RDMCLISCHI01,High-skilled,,South West,Biological scientists
MD(Res) Clinical Research,RDMCLISCHI01/RDMCLISCHI01,High-skilled,Health and Social Care,London,Biological scientists
MD(Res) Clinical Research,RDMCLISCHI01/RDMCLISCHI01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCHI01/RDMCLISCHI01,High-skilled,Health and Social Care,South West,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCHI01/RDMCLISCHI01,High-skilled,Health and Social Care,Yorkshire and The Humber,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCTM01/RDMCLISCTM01,High-skilled,,South East,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCTM01/RDMCLISCTM01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCTM01/RDMCLISCTM01,High-skilled,Health and Social Care,Scotland,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISCTM01/RDMCLISCTM01,High-skilled,Health and Social Care,West Midlands,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISEAR01/RDMCLISEAR01,High-skilled,Health and Social Care,South East,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISEDI01/RDMCLISEDI01,High-skilled,Health and Social Care,Not known,Dental practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,,England region unknown,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,Health and Social Care,East of England,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,Health and Social Care,England region unknown,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,Health and Social Care,North America,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,Health and Social Care,West Midlands,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,High-skilled,Manufacturing,London,Functional managers and directors n.e.c.
MD(Res) Clinical Research,RDMCLISMED01/RDMCLISMED01,Not applicable,Unknown,Not known,
MD(Res) Clinical Research,RDMCLISMPH01/RDMCLISMPH01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISNEU01/RDMCLISNEU01,High-skilled,,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISNEU01/RDMCLISNEU01,High-skilled,Academic Research and HE,England region unknown,Higher education teaching professionals
MD(Res) Clinical Research,RDMCLISNEU01/RDMCLISNEU01,High-skilled,Health and Social Care,East of England,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISNEU01/RDMCLISNEU01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISNEU01/RDMCLISNEU01,High-skilled,Health and Social Care,South East,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISOPH01/RDMCLISOPH01,High-skilled,,Not known,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISOPH01/RDMCLISOPH01,High-skilled,Health and Social Care,London,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISOPH01/RDMCLISOPH01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISOPH01/RDMCLISOPH01,High-skilled,Health and Social Care,Other European Union,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISOPH01/RDMCLISOPH01,High-skilled,Health and Social Care,South East,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISPOP01/RDMCLISPOP01,High-skilled,,South East,Higher education teaching professionals
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES01,High-skilled,,England region unknown,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES01,High-skilled,,London,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES01,High-skilled,,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES01,High-skilled,,Not known,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES01,High-skilled,Health and Social Care,East of England,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES01,High-skilled,Health and Social Care,East of England,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISRES01/RDMCLISRES02,High-skilled,,Other European Union,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISSUR01/RDMCLISSUR01,High-skilled,,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISSUR01/RDMCLISSUR01,High-skilled,Health and Social Care,London,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISSUR01/RDMCLISSUR01,High-skilled,Health and Social Care,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISSUR01/RDMCLISSUR01,High-skilled,Health and Social Care,Not known,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISSUR01/RDMCLISSUR01,High-skilled,Retail and Wholesale activities,London,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISSUR01/RDMCLISSUR01,High-skilled,Security and Intelligence,West Midlands,Specialist medical practitioners
MD(Res) Clinical Research,RDMCLISWOM01/RDMCLISWOM01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
MD(Res) Clinical Research,RDMCLISWOM01/RDMCLISWOM01,High-skilled,Health and Social Care,London,Generalist medical practitioners
MD(Res) Clinical Research,RDMCLISWOM01/RDMCLISWOM01,High-skilled,Health and Social Care,London,Specialist medical practitioners
Research Degree: Institute for Women's Health,RDMCLISWOM01/RDMCLISWOM01,High-skilled,Health and Social Care,London,Specialist medical practitioners
Research Degree: Institute for Women's Health,RDMCLISWOM01/RDMCLISWOM01,High-skilled,Health and Social Care,South East,Generalist medical practitioners
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,,London,Legal professionals n.e.c.
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,Academic Research and HE,Asia,Higher education teaching professionals
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,Academic Research and HE,Not known,"Other researchers, unspecified discipline"
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,"Charities, NGOs and international development",London,Programmers and software development professionals
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,"Other professional, scientific and technical activities",Scotland,Programmers and software development professionals
PhD Philosophy,RDPPHISING01/RDPPHISING01,High-skilled,Unknown,Not known,Business and related research professionals
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,,London,Sports and leisure assistants
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Academic Research and HE,London,Higher education teaching professionals
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Academic Research and HE,London,Management consultants and business analysts
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,"Arts admin;  Libraries, Museums and Heritage",Other European Union,Managers and directors in the creative industries
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Consultancy,Other European Union,Social and humanities scientists
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,"IT, Technology & Telecomms",London,Human resources and industrial relations officers
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,"IT, Technology & Telecomms",London,IT operations technicians
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,"IT, Technology & Telecomms",London,IT user support technicians
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Law,London,Solicitors and lawyers
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Teaching or other educational activities,London,Child and early years officers
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Teaching or other educational activities,North America,Secondary education teaching professionals
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Teaching or other educational activities,South America,Secondary education teaching professionals
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,High-skilled,Unknown,Not known,Programmers and software development professionals
MPhilStud Philosophical Studies,RMPPHISING09/RMPPHISING09,Not applicable,,Not known,Insufficient information to code
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,,London,Research and development (RandD) managers
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Academic Research and HE,London,"Other researchers, unspecified discipline"
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Academic Research and HE,London,Welfare and housing associate professionals n.e.c.
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Academic Research and HE,South East,"Other researchers, unspecified discipline"
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Health and Social Care,London,Welfare and housing associate professionals n.e.c.
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Health and Social Care,South America,Social services managers and directors
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,"Other professional, scientific and technical activities",London,Quality assurance and regulatory professionals
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Policy and Government,London,Public services associate professionals
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,Policy and Government,Other European Union,"Actuaries, economists and statisticians"
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,High-skilled,"Scientific Research, development & analysis",North America,Social and humanities scientists
Research Degree: Institute of the Americas,RRDAMRSING01/RRDAMRSING01,Medium-skilled,"Other professional, scientific and technical activities",Not known,Other administrative occupations n.e.c.
Research Degree: Human Biology and Evolution,RRDANTSHBE01/RRDANTSHBE01,High-skilled,"Scientific Research, development & analysis",Other European Union,"Other researchers, unspecified discipline"
Research Degree:  Anthropology,RRDANTSING01/RRDANTSING01,High-skilled,,East of England,Social and humanities scientists
Research Degree:  Anthropology,RRDANTSING01/RRDANTSING01,High-skilled,,Not known,Therapy professionals n.e.c.
Research Degree:  Anthropology,RRDANTSING01/RRDANTSING01,High-skilled,,Other European Union,Generalist medical practitioners
Research Degree:  Anthropology,RRDANTSING01/RRDANTSING01,High-skilled,,Other European Union,Higher education teaching professionals
Research Degree:  Anthropology,RRDANTSING01/RRDANTSING01,High-skilled,,Other European Union,Project support officers
