title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Mathematics and Physics,BSc,mathematics-and-physics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-and-physics-bsc,259,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-and-physics-bsc,UBSMATAPHY18,A*A*A,"A*A*A with A*A* in Mathematics and Further Mathematics and A in Physics, or A*AA with A*A in Mathematics and Further Mathematics and A in Physics, any order, and a 2 in any STEP Paper or a Distinction in the Mathematics AEA.",English Language and Mathematics at grade C or 4.,40,"A total of 40 points overall with 20 points in three higher level subjects including 7 in higher level Mathematics and 6 in higher level Physics, or 39 overall with 19 in three higher level subjects including 7 in higher level Mathematics, 6 in higher level Physics plus a grade 2 in any STEP paper/distinction in Mathematics AEA. The programme will accept higher level 'Mathematics: Analysis and Approaches' only.",NA
Mathematics and Statistical Science,BSc,mathematics-and-statistical-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-and-statistical-science-bsc,260,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-and-statistical-science-bsc,UBSMATASTA18,A*A*A,"A*A*A with A*A* in Mathematics and Further Mathematics, or A*AA with A*A in Mathematics and Further Mathematics, any order, and a 2 in any STEP Paper or a Distinction in the Mathematics AEA. Biology, Chemistry, Computer Science, Economics, English Language, English Literature, Physics and Statistics preferred.",English Language and Mathematics at grade C or 4.,40,"A total of 40 points overall with 20 points in three higher level subjects including 7 in Mathematics, or 39 overall with 19 points in three higher level subjects including 7 in Mathematics and a 2 in any STEP paper or a distinction in Mathematics AEA. The programme will accept higher level 'Mathematics: Analysis and Approaches' only. Physics, Statistics, Chemistry, Computer Science, Biology, Economics, English Language, English Literature preferred as third subject.",NA
Medical Innovation and Enterprise,BSc,medical-innovation-and-enterprise-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medical-innovation-and-enterprise-bsc,261,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medical-innovation-and-enterprise-bsc,UBSMEDSIAE18,AAA,"Biology and either Chemistry, Mathematics or Physics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Sport and Exercise Medical Sciences,BSc,sport-and-exercise-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sport-and-exercise-medical-sciences-bsc,262,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sport-and-exercise-medical-sciences-bsc,UBSMEDSSAE18,AAA,"Biology and either Chemistry, Mathematics or Physics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Nutrition and Medical Sciences,BSc,nutrition-and-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/nutrition-and-medical-sciences-bsc,263,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/nutrition-and-medical-sciences-bsc,UBSNMSSING18,AAA,"Biology at grade A and either Chemistry, Mathematics or Physics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Urban Planning and Real Estate,BSc,urban-planning-and-real-estate-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-planning-and-real-estate-bsc,264,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-planning-and-real-estate-bsc,UBSPLNAREE19,AAB,"Mathematics / Further Mathematics, Geography, Economics, Business, History, Law, Religious Education / Philosophy, Anthropology, Government and Politics and Sociology preferred.","English Language at grade C or 4, plus Mathematics at grade B or 6.",36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Mathematics (Analysis and Approaches or  Applications and Interpretation) / Further Mathematics, Geography, Economics, Business, History, Law, Religious Education / Philosophy, Anthropology, Government and Politics and Sociology preferred.",NA
Politics and International Relations,BSc,politics-and-international-relations-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,265,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,UBSPOLAINT18,AAA,No specific subjects. An essay based subject is preferred but not required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5. An essay based subject at higher level is preferred but not required.",NA
"Philosophy, Politics and Economics",BSc,philosophy-politics-and-economics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-politics-and-economics-bsc,266,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-politics-and-economics-bsc,UBSPPESING18,A*AA,A* in Mathematics required.,English Language at grade B or 6 and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including 7 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Psychology and Language Sciences,BSc,psychology-and-language-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-and-language-sciences-bsc,267,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-and-language-sciences-bsc,UBSPSYALAN18,AAA,"To include one subject from Biology, Chemistry, Mathematics, Physics or Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",38,"A total of 18 points in three higher level subjects to include grade 6 in one subject from Biology, Chemistry, Mathematics, Physics or Psychology, with no higher level score below 5. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.",NA
"Sustainable Built Environments, Energy and Resources",BSc,sustainable-built-environments-energy-and-resources-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sustainable-built-environments-energy-and-resources-bsc,268,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sustainable-built-environments-energy-and-resources-bsc,UBSSBESING18,AAA,"Mathematics required. Economics, Physics, Chemistry, Computer Science, Further Mathematics, Enivironmental Systems and Societies, Environmental Studies and Geography preferred.",English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Economics, Physics, Chemistry, Computer Science, Further Mathematics, Enivironmental Systems and Societies, Environmental Studies and Geography preferred",NA
Science and Engineering for Social Change,BSc,science-and-engineering-social-change-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/science-and-engineering-social-change-bsc,269,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/science-and-engineering-social-change-bsc,UBSSCESSOC18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
