kiscourseid,url,university,offer_rate_clean
UBAGERAHEB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hebrew-ba,University College London,60
UBAGERAHAR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-art-ba,University College London,63
UBAGERAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hungarian-ba,University College London,63
UBAGERAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-italian-ba,University College London,82
UBAGERALAT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-latin-ba,University College London,63
UBAGERANOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-norwegian-ba,University College London,63
UBAGERAPHI18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-philosophy-ba,University College London,75
UBAGERAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-polish-ba,University College London,63
UBAGERAPOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-portuguese-ba,University College London,63
UBAGERAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-romanian-ba,University College London,60
UBAGERARUS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-russian-ba,University College London,79
UBAGERASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-serbian-croatian-ba,University College London,60
UBAGERASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-spanish-ba,University College London,88
UBAGERASWE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-swedish-ba,University College London,63
UBAGERAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-ukrainian-ba,University College London,63
UBAGERAYID18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-yiddish-ba,University College London,Data Not Available
UBAGERSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-ba,University College London,86
UBAGERWFLM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-film-studies-ba,University College London,25
UBAGERWMAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-management-studies-ba,University College London,82
UBSGLOSHST18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/global-humanitarian-studies-bsc,University College London,54
UBAHEBAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-hungarian-ba,University College London,63
UBAHEBAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-italian-ba,University College London,63
UBAHEBAJEW18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-jewish-studies-ba,University College London,90
UBAHEBANOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-norwegian-ba,University College London,60
UBAHEBAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-polish-ba,University College London,60
UBAHEBAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-romanian-ba,University College London,Data Not Available
UBAHEBASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-serbian-croatian-ba,University College London,Data Not Available
UBAHEBASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-spanish-ba,University College London,63
UBAHEBASWE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-swedish-ba,University College London,Data Not Available
UBAHEBAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-ukrainian-ba,University College London,Data Not Available
UBSHPSSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-philosophy-science-bsc,University College London,71
UBAHPASING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-politics-americas-ba,University College London,76.5
UBAHPAWABR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-politics-americas-year-abroad-ba,University College London,76.5
UBAHARSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-art-ba,University College London,81
UBAHISSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-ba,University College London,82
