kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary,university,offer_rate_clean
UBABULAPOL18,Bulgarian and Polish,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba,No,No,Yes,25500,28500,35000,University College London,63
UBABULAPOR18,Bulgarian and Portuguese,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-portuguese-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBABULAROM18,Bulgarian and Romanian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-romanian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBABULARUS18,Bulgarian and Russian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba,No,No,Yes,25500,28500,35000,University College London,63
UBABULASRB18,Bulgarian and Serbian/Croatian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-serbian-croatian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBABULASPA18,Bulgarian and Spanish,BA,AAB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, to include French grade 6.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBABULASWE18,Bulgarian and Swedish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-swedish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBABULAUKR18,Bulgarian and Ukrainian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-ukrainian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBABULAYID18,Bulgarian and Yiddish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Bulgarian or Yiddish with no higher level score below 5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-yiddish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available
UBSBUSAHEA01,Business and Health,BSc,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language at grade C or 4, plus Mathematics or Statistics at grade C or 4.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/business-and-health-bsc,No,No,No,28000,35000,40000,University College London,Data Not Available
UMSBUSAHEA01,Business and Health,MSCi,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language at grade C or 4, plus Mathematics or Statistics at grade C or 4.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/business-and-health-msci,No,No,Yes,28000,35000,40000,University College London,Data Not Available
UBSCANSBMD18,Cancer Biomedicine,BSc,AAA,Biology and Chemistry required.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and Chemistry, with no higher level score below 5.
",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/cancer-biomedicine-bsc,No,No,No,30000,34000,37000,University College London,68
